No,ID,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
111,2,9.97,0.64,15,252,0,0.92,1.45,4,2.86,19,189.43,92.9,159.1,96.53,7.61,1.82,0.16,3,1,1.04,2.98,7.61,1.21,21,1,185.168035,0
112,2,10.03,0.67,14,255,0,0.92,1.45,4,2.87,19,190.57,93.49,161.51,97.08,7.5,1.83,0.16,3,1,1.03,2.99,7.5,1.21,20.89,1,185.4912692,0
113,2,10.12,0.7,11,156,0,0.81,1.6,4,2.94,19,192.28,94.37,61.63,97.91,6.31,2.1,0.21,3,1,1.02,3.08,6.31,1.33,19.58,2,182.6205072,0
114,2,10.23,0.91,11,244,0,0.78,1.51,4,2.94,19,194.37,95.45,148.55,98.92,5.92,2.01,0.26,3,1,1.01,3.1,5.92,1.51,19.44,2,178.5536799,0
115,2,10.46,0.7,7,224,0,0.77,1.31,4,2.92,19,198.74,97.71,126.29,101.03,5.61,1.77,0.25,3,1,0.99,3.09,5.61,1.42,19.53,1,169.336146,0
116,2,10.62,0.78,12,185,0,0.79,1.08,4,2.87,19,201.78,99.28,85.72,102.5,5.73,1.45,0.24,3,1,0.98,3.04,5.73,1.35,20.1,1,161.4892032,0
117,2,10.74,0.68,7,270,0,0.85,1.09,4,2.84,19,204.06,100.45,169.55,103.61,6.23,1.43,0.19,3,1,0.97,3.01,6.23,1.21,20.56,1,165.5364206,0
118,2,10.78,0.96,8,173,0,0.88,1.07,4,2.82,19,204.82,100.85,72.15,103.97,6.49,1.4,0.17,3,1,0.96,2.99,6.49,1.11,20.84,1,166.4221192,0
119,2,12.13,1.03,6,198,0,0.93,1.26,4,2.84,19,230.47,114.09,83.91,116.38,5.98,1.68,0.23,3,1,0.86,3.06,5.98,1.39,19.96,1,171.022564,0
120,2,12.17,0.73,8,275,0,0.94,1.19,4,2.82,19,231.23,114.48,160.52,116.75,6.06,1.58,0.23,3,1,0.86,3.04,6.06,1.37,20.18,1,168.4154746,0
121,2,12.26,0.84,15,326,0,1,1.15,4,2.79,19,232.94,115.37,210.63,117.57,6.55,1.5,0.18,3,1,0.85,3,6.55,1.19,20.74,1,169.7104169,0
122,2,12.28,0.9,14,242,0,1.02,1.17,4,2.78,19,233.32,115.56,126.44,117.76,6.64,1.52,0.17,3,1,0.85,3,6.64,1.14,20.79,1,171.4563542,0
123,2,12.38,0.82,13,276,0,1.1,1.34,4,2.78,19,235.22,116.54,159.46,118.68,7.29,1.7,0.13,3,1,0.84,2.98,7.29,0.98,20.98,1,179.2970613,0
124,2,12.46,1.11,13,107,0,1.28,1.35,4,2.73,19,236.74,117.33,-10.33,119.41,8.71,1.66,0.08,4,1,0.84,2.91,8.71,0.67,22.15,1,187.5172138,0
125,2,13.38,0.98,20,369,0,1.23,1.57,4,2.77,19,254.22,126.35,242.65,127.87,7.64,1.98,0.11,3,1,0.78,3,7.64,0.84,20.73,1,190.4791938,0
126,2,13.65,1,24,371,0,1.41,1.62,4,2.73,19,259.35,129,242,130.35,8.82,1.98,0.06,3,1,0.77,2.95,8.82,0.51,21.51,1,199.1264559,0
127,2,13.78,1.54,15,131,0,1.29,1.88,4,2.8,19,261.82,130.28,0.72,131.54,7.83,2.35,0.12,3,1,0.76,3.03,7.83,0.95,20.16,2,201.5342423,0
128,2,14.29,1.08,27,114,0,1.47,1.31,4,2.67,19,271.51,135.28,-21.28,136.23,8.8,1.61,0.06,4,1,0.73,2.9,8.8,0.55,22.34,1,186.5905004,0
129,2,14.35,0.67,30,358,0,1.58,1.28,4,2.64,19,272.65,135.87,222.13,136.78,9.56,1.55,0.03,4,1,0.73,2.86,9.56,0.32,23.07,1,188.7430394,0
